title,doi,openaire_id,candidate_url,is_open,access_label,oa_route,license,version,hosted_by,collected_from,resolved_at,error
Let’s Talk About CUIs: Putting Conversational User Interface Design Into Practice,10.1145/3411763.3441336,doi_dedup___::b3e78c3de475562fb84d35bdbca7833e,https://dx.doi.org/10.1145/3411763.3441336,false,,,,Article,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:43.299459+00:00,
Introduction to this special issue: guiding the conversation: new theory and design perspectives for conversational user interfaces,10.1080/07370024.2022.2161905,doi_dedup___::501b9cf12a6a300808894a03b45904dd,https://doi.org/10.1080/07370024.2022.2161905,false,,,,Article,Human-Computer Interaction,Crossref,2026-08-31T01:27:44.347521+00:00,
Introduction to this special issue: guiding the conversation: new theory and design perspectives for conversational user interfaces,10.1080/07370024.2022.2161905,doi_dedup___::501b9cf12a6a300808894a03b45904dd,https://doi.org/10.1080/07370024.2022.2161905,false,,,,Article,DBLP,DBLP,2026-08-31T01:27:44.347534+00:00,
User Preference and Categories for Error Responses in Conversational User Interfaces,10.1145/3405755.3406126,doi_dedup___::5038942bb25729259cf2438d63c00ddb,https://doi.org/10.1145/3405755.3406126,false,CLOSED,,https://www.acm.org/publications/policies/copyright_policy#Background,Article,Unknown Repository,Crossref,2026-08-31T01:27:45.357425+00:00,
User Preference and Categories for Error Responses in Conversational User Interfaces,10.1145/3405755.3406126,doi_dedup___::5038942bb25729259cf2438d63c00ddb,https://dx.doi.org/10.24406/publica-r-408276,false,,,,Other literature type,Unknown Repository,Datacite,2026-08-31T01:27:45.357448+00:00,
User Preference and Categories for Error Responses in Conversational User Interfaces,10.1145/3405755.3406126,doi_dedup___::5038942bb25729259cf2438d63c00ddb,https://doi.org/10.1145/3405755.3406126,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:45.357455+00:00,
User Preference and Categories for Error Responses in Conversational User Interfaces,10.1145/3405755.3406126,doi_dedup___::5038942bb25729259cf2438d63c00ddb,https://dx.doi.org/10.1145/3405755.3406126,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:45.357460+00:00,
User Preference and Categories for Error Responses in Conversational User Interfaces,10.1145/3405755.3406126,doi_dedup___::5038942bb25729259cf2438d63c00ddb,https://dx.doi.org/10.1145/3405755.3406126,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:45.357465+00:00,
Conversational User Interfaces in Smart Homecare Interactions: A Conversation Analytic Case Study,10.1145/3571884.3597140,doi_dedup___::ec7abfcb9013f01b02efd70ef2b34004,https://doi.org/10.1145/3571884.3597140,true,OPEN,hybrid,CC BY,Article,Unknown Repository,Crossref,2026-08-31T01:27:46.393395+00:00,
Conversational User Interfaces in Smart Homecare Interactions: A Conversation Analytic Case Study,10.1145/3571884.3597140,doi_dedup___::ec7abfcb9013f01b02efd70ef2b34004,https://doi.org/10.1145/3571884.3597140,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:46.393407+00:00,
Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,doi_dedup___::ec33ceb79e662124cb4b21da0005ada9,https://doi.org/10.1145/3571884.3603760,false,CLOSED,,https://www.acm.org/publications/policies/copyright_policy#Background,Article,Unknown Repository,Crossref,2026-08-31T01:27:47.423754+00:00,
Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,doi_dedup___::ec33ceb79e662124cb4b21da0005ada9,https://dx.doi.org/10.48550/arxiv.2306.05228,false,,,arXiv Non-Exclusive Distribution,Article,Unknown Repository,Datacite,2026-08-31T01:27:47.423766+00:00,
Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,doi_dedup___::ec33ceb79e662124cb4b21da0005ada9,http://arxiv.org/abs/2306.05228,true,OPEN,,,Preprint,arXiv.org e-Print Archive,arXiv.org e-Print Archive,2026-08-31T01:27:47.423771+00:00,
Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,doi_dedup___::ec33ceb79e662124cb4b21da0005ada9,https://doi.org/10.1145/3571884.3603760,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:47.423774+00:00,
Who are CUIs Really For? Representation and Accessibility in the Conversational User Interface Literature,10.1145/3571884.3603760,doi_dedup___::ec33ceb79e662124cb4b21da0005ada9,https://doi.org/10.48550/arXiv.2306.05228,false,,,,Preprint,DBLP,DBLP,2026-08-31T01:27:47.423777+00:00,
Design Issues for Conversational User Interfaces: Animating and Controlling 3D Faces,10.1007/978-0-306-47002-8_20,doi_dedup___::8cc046574d32018b00c7d172f81c4a1f,https://doi.org/10.1007/978-0-306-47002-8_20,false,,,,Part of book or chapter of book,Unknown Repository,Crossref,2026-08-31T01:27:48.430239+00:00,
Design Issues for Conversational User Interfaces: Animating and Controlling 3D Faces,10.1007/978-0-306-47002-8_20,doi_dedup___::8cc046574d32018b00c7d172f81c4a1f,https://link.springer.com/content/pdf/10.1007%2F978-0-306-47002-8_20.pdf,true,OPEN,bronze,,Part of book or chapter of book,Unknown Repository,UnpayWall,2026-08-31T01:27:48.430251+00:00,
Design Issues for Conversational User Interfaces: Animating and Controlling 3D Faces,10.1007/978-0-306-47002-8_20,doi_dedup___::8cc046574d32018b00c7d172f81c4a1f,https://dx.doi.org/10.1007/978-0-306-47002-8_20,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:48.430254+00:00,
Design Issues for Conversational User Interfaces: Animating and Controlling 3D Faces,10.1007/978-0-306-47002-8_20,doi_dedup___::8cc046574d32018b00c7d172f81c4a1f,https://dx.doi.org/10.1007/978-0-306-47002-8_20,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:48.430256+00:00,
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,doi_dedup___::2169a2a49372f9514357e79fde2705ae,https://doi.org/10.1145/3490632.3490673,false,CLOSED,,https://www.acm.org/publications/policies/copyright_policy#Background,Article,Unknown Repository,Crossref,2026-08-31T01:27:49.483820+00:00,
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,doi_dedup___::2169a2a49372f9514357e79fde2705ae,https://dl.acm.org/doi/pdf/10.1145/3490632.3490673,true,OPEN,bronze,,Article,Unknown Repository,UnpayWall,2026-08-31T01:27:49.483855+00:00,
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,doi_dedup___::2169a2a49372f9514357e79fde2705ae,https://doi.org/10.1145/3490632.3490673,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:49.483861+00:00,
Conversational User Interfaces to support Astronauts in Extraterrestrial Habitats,10.1145/3490632.3490673,doi_dedup___::2169a2a49372f9514357e79fde2705ae,https://www.alexandria.unisg.ch/handle/20.500.14171/109644,true,OPEN,,,Conference object,Alexandria Research Platform,Alexandria Research Platform,2026-08-31T01:27:49.483866+00:00,
Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,10.1145/3473856.3473872,doi_dedup___::898fe1f7c646e55cc5b5e2fbdff48d1c,https://doi.org/10.1145/3473856.3473872,false,CLOSED,,https://www.acm.org/publications/policies/copyright_policy#Background,Article,Unknown Repository,Crossref,2026-08-31T01:27:50.502563+00:00,
Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,10.1145/3473856.3473872,doi_dedup___::898fe1f7c646e55cc5b5e2fbdff48d1c,https://doi.org/10.1145/3473856.3473872,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:50.502580+00:00,
Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,10.1145/3473856.3473872,doi_dedup___::898fe1f7c646e55cc5b5e2fbdff48d1c,https://dx.doi.org/10.1145/3473856.3473872,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:50.502583+00:00,
Time to Get Conversational: Assessment of the Potential of Conversational User Interfaces for Mobile Banking,10.1145/3473856.3473872,doi_dedup___::898fe1f7c646e55cc5b5e2fbdff48d1c,https://dx.doi.org/10.1145/3473856.3473872,false,,,,Other literature type,Unknown Repository,Microsoft Academic Graph,2026-08-31T01:27:50.502586+00:00,
Unifying Recommender Systems and Conversational User Interfaces,10.1145/3543829.3544524,doi_dedup___::83870924f9e89619a010f8a4e5df49e1,https://doi.org/10.1145/3543829.3544524,false,CLOSED,,https://www.acm.org/publications/policies/copyright_policy#Background,Article,Unknown Repository,Crossref,2026-08-31T01:27:51.533915+00:00,
Unifying Recommender Systems and Conversational User Interfaces,10.1145/3543829.3544524,doi_dedup___::83870924f9e89619a010f8a4e5df49e1,https://doi.org/10.1145/3543829.3544524,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:51.533934+00:00,
Unifying Recommender Systems and Conversational User Interfaces,10.1145/3543829.3544524,doi_dedup___::83870924f9e89619a010f8a4e5df49e1,https://research.tue.nl/en/publications/e2ab94c4-0397-4a45-94d8-9f7b08beae55,false,,,,Conference object,Eindhoven University of Technology Research Portal,Eindhoven University of Technology Research Portal,2026-08-31T01:27:51.533941+00:00,
Unifying Recommender Systems and Conversational User Interfaces,10.1145/3543829.3544524,doi_dedup___::83870924f9e89619a010f8a4e5df49e1,https://doi.org/10.1145/3543829.3544524,false,,,,Conference object,Eindhoven University of Technology Research Portal,Eindhoven University of Technology Research Portal,2026-08-31T01:27:51.533945+00:00,
Unifying Recommender Systems and Conversational User Interfaces,10.1145/3543829.3544524,doi_dedup___::83870924f9e89619a010f8a4e5df49e1,https://doi.org/10.1145/3543829.3544524,false,RESTRICTED,,,Conference object,Research@WUR,Research@WUR,2026-08-31T01:27:51.533952+00:00,
Unifying Recommender Systems and Conversational User Interfaces,10.1145/3543829.3544524,doi_dedup___::83870924f9e89619a010f8a4e5df49e1,https://research.wur.nl/en/publications/unifying-recommender-systems-and-conversational-user-interfaces,false,RESTRICTED,,,Conference object,Research@WUR,Research@WUR,2026-08-31T01:27:51.533957+00:00,
Key Principles Pertinent to User Experience Design for Conversational User Interfaces: A Conceptual Learning Model,10.1007/978-3-031-40113-8_17,doi_dedup___::1222d9fb33bacc873d5b9905d4466c00,https://doi.org/10.1007/978-3-031-40113-8_17,false,CLOSED,,Springer Nature TDM,Part of book or chapter of book,Unknown Repository,Crossref,2026-08-31T01:27:52.553956+00:00,
Key Principles Pertinent to User Experience Design for Conversational User Interfaces: A Conceptual Learning Model,10.1007/978-3-031-40113-8_17,doi_dedup___::1222d9fb33bacc873d5b9905d4466c00,https://doi.org/10.1007/978-3-031-40113-8_17,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:52.553970+00:00,
"Seeking Truth, Comfort, and Connection: How Conversational User Interfaces can help Couples with Dementia Manage Reality Disjunction",10.1145/3640794.3665547,doi_dedup___::a5be35338c6d1407a76378f401b3d43f,https://doi.org/10.1145/3640794.3665547,true,OPEN,hybrid,CC BY,Article,Unknown Repository,Crossref,2026-08-31T01:27:53.560505+00:00,
"Seeking Truth, Comfort, and Connection: How Conversational User Interfaces can help Couples with Dementia Manage Reality Disjunction",10.1145/3640794.3665547,doi_dedup___::a5be35338c6d1407a76378f401b3d43f,https://doi.org/10.1145/3640794.3665547,false,,,,Conference object,DBLP,DBLP,2026-08-31T01:27:53.560531+00:00,
"Seeking Truth, Comfort, and Connection: How Conversational User Interfaces can help Couples with Dementia Manage Reality Disjunction",10.1145/3640794.3665547,doi_dedup___::a5be35338c6d1407a76378f401b3d43f,https://research.tue.nl/en/publications/dc0dd4c9-d908-4aa1-a360-9620f0c4bec4,true,OPEN,,CC BY,Conference object,Eindhoven University of Technology Research Portal,Eindhoven University of Technology Research Portal,2026-08-31T01:27:53.560539+00:00,
"Seeking Truth, Comfort, and Connection: How Conversational User Interfaces can help Couples with Dementia Manage Reality Disjunction",10.1145/3640794.3665547,doi_dedup___::a5be35338c6d1407a76378f401b3d43f,https://doi.org/10.1145/3640794.3665547,true,OPEN,,CC BY,Conference object,Eindhoven University of Technology Research Portal,Eindhoven University of Technology Research Portal,2026-08-31T01:27:53.560544+00:00,
Voice User Interface Design,10.1007/978-1-4842-4125-7,doi_________::0eb0ea872a75927530c3c8f3f079301f,https://doi.org/10.1007/978-1-4842-4125-7,false,CLOSED,,Springer TDM,Book,Unknown Repository,Crossref,2026-08-31T01:27:54.611930+00:00,
