run_id,query,source_api,source_id,doi,title,year,authors,type,abstract,landing_url,pdf_url,license,oa_status,ontology_score,provisional_score,automatic_signal,decision,decision_reason,citation_relation
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2889465620,https://doi.org/10.2991/icie-18.2018.17,Improvement of Mathematical Lateral Thinking Skills and Student Character through Challenge-Based Learning,2018,,conference-paper,,https://doi.org/10.2991/icie-18.2018.17,https://download.atlantis-press.com/article/25901218.pdf,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2981452016,https://doi.org/10.1108/lht-01-2019-0010,Serious games for information literacy: a scoping review and design recommendations,2019,,article,,https://doi.org/10.1108/lht-01-2019-0010,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W3036903096,https://doi.org/10.1007/s11423-020-09787-0,A systematic review of mobile game-based learning in STEM education,2020,,review,,https://doi.org/10.1007/s11423-020-09787-0,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W3114906974,https://doi.org/10.33619/2414-2948/61/52,"Teaching With Technology, Learning by Design",2020,,article,,https://doi.org/10.33619/2414-2948/61/52,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W3128685776,https://doi.org/10.20935/al209,"What’s the difference between gamification, serious games, educational games, and game-based learning?",2021,,article,,https://doi.org/10.20935/al209,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W3137424350,https://doi.org/10.29333/iji.2021.14214a,Backward Instructional Design based Learning Activities to Developing Students’ Creative Thinking with Lateral Thinking Technique,2021,,article,,https://doi.org/10.29333/iji.2021.14214a,https://doi.org/10.29333/iji.2021.14214a,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,citante,OpenAlex-citation,https://openalex.org/W7117962112,https://doi.org/10.1007/978-3-032-11043-5_35,Escape Game Chatbot: Co-designing Educational Games for Sustainability,2026,,conference-paper,,https://doi.org/10.1007/978-3-032-11043-5_35,,,,2,5,termos=5; relação=citante,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,citante
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W1978099531,https://doi.org/10.1109/tpc.2010.2052861,Technical Communication and Usability: Intertwined Strands and Mutual Influences,2010,,article,,https://doi.org/10.1109/tpc.2010.2052861,,,,2,5,termos=4; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2028843083,https://doi.org/10.1080/10572252.2013.730966,Participatory Localization: A Social Justice Approach to Navigating Unenfranchised/Disenfranchised Cultural Sites,2012,,article,,https://doi.org/10.1080/10572252.2013.730966,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2036344273,https://doi.org/10.1145/2644448.2644451,Journey mapping,2014,,article,,https://doi.org/10.1145/2644448.2644451,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2061404642,https://doi.org/10.1145/2752853.2752856,Are personas really usable?,2015,,article,,https://doi.org/10.1145/2752853.2752856,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2068687198,https://doi.org/10.1515/semi.1973.8.4.289,Opening up Closings,1973,,article,,https://doi.org/10.1515/semi.1973.8.4.289,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2149305514,https://doi.org/10.1145/2721882.2721886,"Designing globally, working locally",2015,,article,,https://doi.org/10.1145/2721882.2721886,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2315357382,https://doi.org/10.1109/tpc.2016.2540727,Introduction to the Special Issue: Content Strategy— A Unifying Vision,2016,,editorial,,https://doi.org/10.1109/tpc.2016.2540727,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2407096849,https://doi.org/10.1109/tpc.2016.2561139,Toward a Model of UX Education: Training UX Designers Within the Academy,2016,,article,,https://doi.org/10.1109/tpc.2016.2561139,,,,2,5,termos=4; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2433671408,https://doi.org/10.1177/0047281616653497,Human-Centered Design and the Field of Technical Communication,2016,,article,,https://doi.org/10.1177/0047281616653497,,,,2,5,termos=3; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2558528729,https://doi.org/10.4018/ijskd.2016070101,Transitioning from Technical Communication to User Experience (UX),2016,,article,,https://doi.org/10.4018/ijskd.2016070101,,,,2,5,termos=5; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2635153012,https://doi.org/10.1145/3085558,Chatbots and the new world of HCI,2017,,article,,https://doi.org/10.1145/3085558,,,,2,5,termos=7; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
citation-20260907T231123Z,referenciado,OpenAlex-citation,https://openalex.org/W2773523097,https://doi.org/10.1109/tpc.2017.2771698,Implementing Usability Testing in Introductory Technical Communication Service Courses: Results and Lessons From a Local Study,2017,,article,,https://doi.org/10.1109/tpc.2017.2771698,,,,2,5,termos=5; relação=referenciado,candidato-por-citacao,Aderência preliminar por título; requer confirmação posterior.,referenciado
