corpus_id,title,doi,semantic_scholar_id,resolved,open_access_pdf_url,open_access_status,landing_url,retrieved_at,error
DCM-00047,Expanding the coaching conversation: group and team coaching,https://doi.org/10.1108/ict-10-2014-0070,f109514ad549f6ec01cdb49876762d6f4b1056c2,true,,CLOSED,https://www.semanticscholar.org/paper/f109514ad549f6ec01cdb49876762d6f4b1056c2,2026-09-01T00:53:01.841609+00:00,
DCM-00049,Conversation Design: The Evolving Paradigm in Technical and Professional Communication,https://doi.org/10.1145/3787586.3787589,5a0f9a4cda56e085eb46f8a7f644df21c4bef5c0,true,,CLOSED,https://www.semanticscholar.org/paper/5a0f9a4cda56e085eb46f8a7f644df21c4bef5c0,2026-09-01T00:53:01.841609+00:00,
DCM-00050,Investigating User Preferences for Conversation Design of Voice Assistant Systems using Linguistic Features,https://doi.org/10.1177/21695067231192609,eb7fc279ec4bc3af0d3a88dabb56a73f8ff2afdc,true,,CLOSED,https://www.semanticscholar.org/paper/eb7fc279ec4bc3af0d3a88dabb56a73f8ff2afdc,2026-09-01T00:53:01.841609+00:00,
DCM-00052,Conversational Design,https://doi.org/10.1007/978-3-658-24393-7_5,d69bde338d01e3660bdcbfe62ea8d034a363c395,true,,CLOSED,https://www.semanticscholar.org/paper/d69bde338d01e3660bdcbfe62ea8d034a363c395,2026-09-01T00:53:01.841609+00:00,
DCM-00057,Conversational Design of Stochastic Service Systems from a Graphical Terminal,https://doi.org/10.1007/978-1-4613-4606-7_7,b369680acb5d81800d6ca9cd89e10ebcb19ee79d,true,,CLOSED,https://www.semanticscholar.org/paper/b369680acb5d81800d6ca9cd89e10ebcb19ee79d,2026-09-01T00:53:01.841609+00:00,
DCM-00059,Human Factors in the Design of Chatbot Interactions: Conversational Design Practices,https://doi.org/10.1145/3702038.3702083,14c8c74db5698441e1955c1c1be43f07b51ef731,true,,CLOSED,https://www.semanticscholar.org/paper/14c8c74db5698441e1955c1c1be43f07b51ef731,2026-09-01T00:53:01.841609+00:00,
DCM-00060,Conversational Design Patterns for a UX Evaluation Instrument Implemented by Voice,https://doi.org/10.1007/978-3-030-96293-7_44,,false,,,,2026-09-01T00:53:01.841609+00:00,
DCM-00061,Exploring the Opinions of Experts in Conversational Design: A Study on Users’ Mental Models of Voice Assistants,https://doi.org/10.1007/978-3-031-05412-9_34,b9f47606cccd3b9c8ea5696ca76b3c9a4eb7e18f,true,,CLOSED,https://www.semanticscholar.org/paper/b9f47606cccd3b9c8ea5696ca76b3c9a4eb7e18f,2026-09-01T00:53:01.841609+00:00,
DCM-00062,"“It’s on its way”: Chatbots applied for online food delivery services, social or task-oriented interaction style?",https://doi.org/10.1080/15378020.2020.1826268,1fead6967756ac0d99717d8a225d8dbaa63dd5f2,true,,CLOSED,https://www.semanticscholar.org/paper/1fead6967756ac0d99717d8a225d8dbaa63dd5f2,2026-09-01T00:53:01.841609+00:00,
DCM-00063,CritiqueCrew: Orchestrating Multi-Perspective Conversational Design Critique,https://doi.org/10.1145/3772318.3791391,0cc1ca32df0d2a317989bf305cf6ecf9a31d90ff,true,https://doi.org/10.1145/3772318.3791391,GOLD,https://www.semanticscholar.org/paper/0cc1ca32df0d2a317989bf305cf6ecf9a31d90ff,2026-09-01T00:53:01.841609+00:00,
DCM-00064,Designing Embodied Virtual Agent in E-commerce System Recommendations using Conversational Design Interaction,https://doi.org/10.1109/icaicta53211.2021.9640258,ec5f701e9e9a4ecd36d9e5918ffa4c8ac27cfdcb,true,,,https://www.semanticscholar.org/paper/ec5f701e9e9a4ecd36d9e5918ffa4c8ac27cfdcb,2026-09-01T00:53:01.841609+00:00,
DCM-00067,Designing Dialogic Disclaimers: Principles for Ethical Conversational Design in LLM Interfaces,https://doi.org/10.1145/3719160.3737640,17b6f6fbfc32e4199bf338b14f77eb3f789980d6,true,,,https://www.semanticscholar.org/paper/17b6f6fbfc32e4199bf338b14f77eb3f789980d6,2026-09-01T00:53:01.841609+00:00,
DCM-00070,Improving the User Experience of Electronic University Enrollment,https://doi.org/10.1109/iceta.2018.8572054,291769f16b39ea77200996a3c14c00043c7bd837,true,,CLOSED,https://www.semanticscholar.org/paper/291769f16b39ea77200996a3c14c00043c7bd837,2026-09-01T00:53:01.841609+00:00,
DCM-00071,AI-enhanced conversational design processes: A systematic review,https://doi.org/10.1177/14780771261425268,4b0adcc74168d19dd14e8b2d895dbff7dbf8a579,true,,,https://www.semanticscholar.org/paper/4b0adcc74168d19dd14e8b2d895dbff7dbf8a579,2026-09-01T00:53:01.841609+00:00,
DCM-00072,Conversational Design as a Paradigm for User Interaction on Mobile Devices,https://doi.org/10.1007/978-3-540-24641-1_2,74fd62669bc509f6dc75c6e3032ce60145955cd4,true,,CLOSED,https://www.semanticscholar.org/paper/74fd62669bc509f6dc75c6e3032ce60145955cd4,2026-09-01T00:53:01.841609+00:00,
DCM-00076,Designing from experience: on the adoption of chatbot conversational design practices by practitioners,https://doi.org/10.1007/s00779-024-01800-0,3e7b663804ed7531db6f80e84c2397a78f59d842,true,,CLOSED,https://www.semanticscholar.org/paper/3e7b663804ed7531db6f80e84c2397a78f59d842,2026-09-01T00:53:01.841609+00:00,
DCM-00079,Supplementary Material for Human Factors in the Design of Chatbot Interactions: Conversational Design Practices,https://doi.org/10.5281/zenodo.7538681,,false,,,,2026-09-01T00:53:01.841609+00:00,
