corpus_id,title,doi,openalex_id,location_number,is_oa,landing_url,pdf_url,license,version,source_name,source_type
DCM-06570,No Barrier,10.4018/979-8-3693-1818-8.ch013,https://openalex.org/W4390597900,1,false,https://doi.org/10.4018/979-8-3693-1818-8.ch013,,,publishedVersion,Advances in business information systems and analytics book series,book series
DCM-06571,A Meta-model for Documenting Conversational Requirements in Chatbots,10.1007/978-3-031-70245-7_5,https://openalex.org/W4402389488,1,false,https://doi.org/10.1007/978-3-031-70245-7_5,,,publishedVersion,Communications in computer and information science,book series
DCM-06572,Securing Conversational AI,10.4018/979-8-3693-9841-8.ch006,https://openalex.org/W4412958871,1,false,https://doi.org/10.4018/979-8-3693-9841-8.ch006,,,publishedVersion,Advances in computational intelligence and robotics book series,book series
DCM-06573,Chinese version of the chatbot usability scale: cross-cultural adaptation and validation (Preprint),10.2196/preprints.84971,https://openalex.org/W4414654770,1,true,https://doi.org/10.2196/preprints.84971,,cc-by,acceptedVersion,,
DCM-06574,AI‐Driven Chatbots,10.1002/9781394411283.ch10,https://openalex.org/W4415172955,1,false,https://doi.org/10.1002/9781394411283.ch10,,,publishedVersion,,
DCM-06575,Perspectives of Parents and Healthcare Professionals on Using Chatbots to Support Parents in Child Health: A Qualitative Study,10.1145/3757232.3757252,https://openalex.org/W4415870303,1,false,https://doi.org/10.1145/3757232.3757252,,,publishedVersion,,
DCM-06576,Retrieval Augmented Generation-based Large Language Model Chatbot,10.1109/iccbe65177.2025.11255894,https://openalex.org/W7107876688,1,false,https://doi.org/10.1109/iccbe65177.2025.11255894,,,publishedVersion,,
DCM-06577,The Impact of Multilingual Conversational AI Tools on Shaping User’s Choices and Preferences,10.1007/978-3-031-87584-7_208,https://openalex.org/W7117974500,1,false,https://doi.org/10.1007/978-3-031-87584-7_208,,,publishedVersion,"Studies in systems, decision and control",book series
DCM-06578,"Retrieval-Augmented Generation for Scalable, Context-Aware Educational Tools",10.1109/nkcon66957.2025.11345779,https://openalex.org/W7125507115,1,false,https://doi.org/10.1109/nkcon66957.2025.11345779,,,publishedVersion,,
DCM-06579,How Do People Communicate with Conversational Agents? Identifying Communication Styles Through Lexical and Acoustic Features,10.1080/10447318.2026.2643349,https://openalex.org/W7143391261,1,false,https://doi.org/10.1080/10447318.2026.2643349,,,publishedVersion,International Journal of Human-Computer Interaction,journal
DCM-06580,Set of Guidelines for the Development of a Web-Based Assistant Focused on the Creation of Dubbing Scripts,10.1007/978-3-032-20322-9_1,https://openalex.org/W7161479737,1,false,https://doi.org/10.1007/978-3-032-20322-9_1,,,publishedVersion,Communications in computer and information science,book series
DCM-06583,Dialo-Go: LLM-Powered Conversational Voice-and-Gaze Locomotion for Hands-Free VR,10.1080/10447318.2026.2701598,https://openalex.org/W7168343496,1,false,https://doi.org/10.1080/10447318.2026.2701598,,,publishedVersion,International Journal of Human-Computer Interaction,journal
DCM-06584,"Left, Right, Down, or Round: Exploring the Design of Patterns in Chatbot Interfaces and How Users Like Them",10.1007/978-3-032-26717-7_4,https://openalex.org/W7201954341,1,false,https://doi.org/10.1007/978-3-032-26717-7_4,,,publishedVersion,Lecture notes in computer science,book series
DCM-06586,Augmenting User Experience Design with Multimodal Generative Artificial Intelligence: A Study of Technical Communication Students,10.1080/10572252.2025.2473503,https://openalex.org/W4408398791,1,false,https://doi.org/10.1080/10572252.2025.2473503,,,publishedVersion,Technical Communication Quarterly,journal
DCM-06587,Improving Conversations: Lessons Learnt from Manual Analysis of Chatbot Dialogues,10.1007/978-3-030-39540-7_13,https://openalex.org/W3000303345,1,false,https://doi.org/10.1007/978-3-030-39540-7_13,,,publishedVersion,Lecture notes in computer science,book series
DCM-06589,Conversational Repair in Chatbots for Customer Service: The Effect of Expressing Uncertainty and Suggesting Alternatives,10.1007/978-3-030-39540-7_14,https://openalex.org/W2998954378,1,false,https://doi.org/10.1007/978-3-030-39540-7_14,,,publishedVersion,Lecture notes in computer science,book series
DCM-06590,A Configurable Agent to Advance Peers’ Productive Dialogue in MOOCs,10.1007/978-3-030-39540-7_17,https://openalex.org/W2998763253,1,false,https://doi.org/10.1007/978-3-030-39540-7_17,,,publishedVersion,Lecture notes in computer science,book series
DCM-06592,Prozess zur Erstellung einer Sprachanwendung,10.1007/978-3-658-40196-2_10,https://openalex.org/W4385435245,1,false,https://doi.org/10.1007/978-3-658-40196-2_10,,,publishedVersion,,
DCM-06593,Voice User Experience Design und Conversational Copywriting,10.1007/978-3-658-40196-2_11,https://openalex.org/W4385435672,1,false,https://doi.org/10.1007/978-3-658-40196-2_11,,,publishedVersion,,
DCM-06598,The art of natural graphic man—Machine conversation,10.1109/proc.1974.9450,https://openalex.org/W2172016924,1,false,https://doi.org/10.1109/proc.1974.9450,,,publishedVersion,Proceedings of the IEEE,journal
DCM-06600,Bounding availability of repairable systems,10.1109/12.40849,https://openalex.org/W1983712057,1,false,https://doi.org/10.1109/12.40849,,,publishedVersion,IEEE Transactions on Computers,journal
DCM-06604,Analytic modeling of interactive systems,10.1109/proc.1975.9859,https://openalex.org/W2140778446,1,false,https://doi.org/10.1109/proc.1975.9859,,,publishedVersion,Proceedings of the IEEE,journal
DCM-06606,Queueing network software for systems modelling,10.1002/spe.4380090504,https://openalex.org/W2008864041,1,false,https://doi.org/10.1002/spe.4380090504,,,publishedVersion,Software Practice and Experience,journal
DCM-06609,RESQ,10.1145/1499402.1499579,https://openalex.org/W2053242194,1,false,https://doi.org/10.1145/1499402.1499579,,,publishedVersion,,
DCM-06611,Numerical Solutions for Markovian Event Systems,10.1007/978-3-642-74306-1_6,https://openalex.org/W70857710,1,false,https://doi.org/10.1007/978-3-642-74306-1_6,,,publishedVersion,,
